family,n,rep,gain,wins
strong,3,49,0.22233395091103048,1
strong,3,50,0.1710039976357145,2
strong,3,51,0.11475278810277745,2
strong,3,52,0.2257568577936272,0
strong,3,53,0.16811096000605397,1
strong,3,54,0.4462115539110114,0
strong,3,55,0.39743799600231033,2
strong,3,56,0.28070624398013244,2
strong,3,57,0.19299769551908263,2
strong,3,58,0.07028006109795237,2
strong,3,59,0.2702234582727212,0
strong,3,60,0.18841137361845828,0
strong,3,61,0.118072531386892,1
strong,3,62,0.07393660007888525,2
strong,3,63,0.20246387359316043,1
strong,3,64,0.4066534440368905,0
strong,3,65,0.6598028295409498,0
strong,3,66,-0.007703943911844813,3
strong,3,67,0.1791483408774477,0
strong,3,68,0.0752712202682082,2
strong,3,69,0.11090388399612305,4
strong,3,70,0.47161250240858665,2
strong,3,71,0.08996500629233595,1
strong,3,72,0.07631496700686968,1
strong,3,73,0.46674142614083636,2
strong,3,74,0.10833872937451194,1
strong,3,75,0.06877820333847184,1
strong,3,76,0.09604757453381574,3
strong,3,77,0.814865180596811,0
strong,3,78,0.010753452752498283,2
strong,3,79,0.16718938837431618,1
strong,3,80,0.18238108911187023,1
strong,3,81,0.27505685862821205,1
strong,3,82,0.3157201400663593,1
strong,3,83,0.002260918604631179,5
strong,3,84,0.7699786441383032,0
strong,3,85,-0.0018524951657848954,4
strong,3,86,0.407494406257933,1
strong,3,87,-0.014572973119732269,3
strong,3,88,0.16439439728991123,0
strong,3,89,0.06064776790363369,2
strong,3,90,0.11737946695642187,0
strong,3,91,0.11326847007344776,1
strong,3,92,0.17864487781115024,1
strong,3,93,0.02235039178494025,3
strong,3,94,0.2146376430146688,0
strong,3,95,0.3509495958456009,2
strong,3,96,0.16909363042489522,0
strong,3,97,0.14182016675439224,1
strong,3,98,0.1047971174396416,1
strong,3,99,0.08363266101026723,1
strong,4,0,-0.06432253978795599,6
strong,4,1,0.09197302945198094,2
strong,4,2,0.10434071567143499,1
strong,4,3,0.07947410120570986,0
strong,4,4,0.04602881342630094,3
strong,4,5,0.2132093584368039,0
strong,4,6,0.08287029140315594,2
strong,4,7,0.131445000137706,1
strong,4,8,0.05257315312587363,2
strong,4,9,0.2554644066936329,0
strong,4,10,0.20418785255928562,0
strong,4,11,0.20495323125334608,0
strong,4,12,0.11982876573321255,1
strong,4,13,0.14454194651971852,0
strong,4,14,0.14347098856712703,1
strong,4,15,0.19767662298189292,0
strong,4,16,0.2125341254953873,0
strong,4,17,0.04162062066201322,5
strong,4,18,0.18734474790888733,0
strong,4,19,0.06409211169426432,3
strong,4,20,0.03751675936524157,4
strong,4,21,-0.0018657458468309684,5
strong,4,22,0.10163561589241754,1
strong,4,23,0.09649333569762863,2
strong,4,24,0.12027713385659189,0
strong,4,25,0.3382192192997623,1
strong,4,26,0.2839615053158795,1
strong,4,27,0.06001999808826253,3
strong,4,28,0.109914091693748,0
strong,4,29,0.08844969864438756,1
strong,4,30,0.06198338140866111,2
strong,4,31,0.26956625255685174,1
strong,4,32,0.17285788230896038,0
strong,4,33,0.20217209175769146,1
strong,4,34,0.09316572533892076,4
strong,4,35,0.42475842926878393,1
strong,4,36,0.014761715749636029,4
strong,4,37,0.15493565422407563,2
strong,4,38,0.10993126993606961,1
strong,4,39,0.23413415949136196,0
strong,4,40,0.17795038789437367,2
strong,4,41,0.4125847942345222,0
strong,4,42,0.15828471303278624,3
strong,4,43,0.036292933589821,3
strong,4,44,0.16993780639753198,1
strong,4,45,0.21108789356948088,2
strong,4,46,0.08501194223863662,1
strong,4,47,0.13163201278496617,0
strong,4,48,0.11157447169648838,0
strong,4,49,0.1536555395051934,1
strong,4,50,0.24219142506736502,1
strong,4,51,0.2252957131292178,1
